restaurant_id,manager_id,restaurant_name,address,state,phone_number,cuisine,price_range,created_on,order_id,product_id,quantity,price,order_date,delivery_date,status
16,28,Devbug,730 Barby Pass,Cairo,343-473-2383,Egyptian,Inexpensive,07/11/2022,3,4,63,1117.754,2022-07-12,2022-10-12,Paid
16,28,Devbug,730 Barby Pass,Cairo,343-473-2383,Egyptian,Inexpensive,07/11/2022,33,17,58,787.094,2023-02-25,2023-02-26,Cancelled
16,28,Devbug,730 Barby Pass,Cairo,343-473-2383,Egyptian,Inexpensive,07/11/2022,62,20,86,270.4536,2023-07-04,2023-08-04,Cancelled
16,28,Devbug,730 Barby Pass,Cairo,343-473-2383,Egyptian,Inexpensive,07/11/2022,97,31,11,664.1184,2023-04-25,2023-04-26,Delivered
17,40,Meezzy,899 Chinook Way,Cairo,238-866-2700,Middle Eastern,Inexpensive,28/12/2022,37,48,87,798.2394,2022-06-08,2022-09-08,Cancelled
17,40,Meezzy,899 Chinook Way,Cairo,238-866-2700,Middle Eastern,Inexpensive,28/12/2022,38,47,92,226.8864,2022-09-09,2022-10-09,Delivered
17,40,Meezzy,899 Chinook Way,Cairo,238-866-2700,Middle Eastern,Inexpensive,28/12/2022,50,44,60,2.3912,2022-08-27,2022-08-28,Paid
18,24,Realmix,10245 Sage Trail,Alexandria,965-844-1808,Egyptian,Moderate,09/04/2023,18,37,39,798.5296,2023-02-23,2023-02-24,Cancelled
18,24,Realmix,10245 Sage Trail,Alexandria,965-844-1808,Egyptian,Moderate,09/04/2023,36,26,34,519.4288,2022-02-06,2022-05-06,Invoiced
18,24,Realmix,10245 Sage Trail,Alexandria,965-844-1808,Egyptian,Moderate,09/04/2023,42,15,78,668.9896,2022-08-11,2022-11-11,Paid
18,24,Realmix,10245 Sage Trail,Alexandria,965-844-1808,Egyptian,Moderate,09/04/2023,84,21,31,59.5107,2022-08-29,2022-01-09,Invoiced
19,16,Fiveclub,92119 Norway Maple Parkway,Mansura,123-660-4921,Mediterranean,Expensive,17/12/2022,16,37,52,907.42,2023-01-28,2023-01-31,Cancelled
19,16,Fiveclub,92119 Norway Maple Parkway,Mansura,123-660-4921,Mediterranean,Expensive,17/12/2022,28,9,19,613.3638,2023-02-21,2023-02-24,Delivered
19,16,Fiveclub,92119 Norway Maple Parkway,Mansura,123-660-4921,Mediterranean,Expensive,17/12/2022,43,28,87,301.581,2022-12-30,2023-02-01,Cancelled
19,16,Fiveclub,92119 Norway Maple Parkway,Mansura,123-660-4921,Mediterranean,Expensive,17/12/2022,49,36,91,609.2138,2022-08-14,2022-08-17,Cancelled
19,16,Fiveclub,92119 Norway Maple Parkway,Mansura,123-660-4921,Mediterranean,Expensive,17/12/2022,76,44,17,2.7572,2022-03-11,2022-04-11,Paid
19,16,Fiveclub,92119 Norway Maple Parkway,Mansura,123-660-4921,Mediterranean,Expensive,17/12/2022,86,11,96,13.186,2023-04-19,2023-04-20,Delivered
19,16,Fiveclub,92119 Norway Maple Parkway,Mansura,123-660-4921,Mediterranean,Expensive,17/12/2022,93,41,84,979.5468,2022-09-16,2022-09-17,Paid
19,16,Fiveclub,92119 Norway Maple Parkway,Mansura,123-660-4921,Mediterranean,Expensive,17/12/2022,94,2,46,171.9848,2022-07-20,2022-07-23,Paid
20,45,Muxo,5722 Straubel Terrace,Mansura,318-933-7938,Mediterranean,Moderate,26/07/2022,32,21,92,59.5107,2022-02-09,2022-05-09,Cancelled
20,45,Muxo,5722 Straubel Terrace,Mansura,318-933-7938,Mediterranean,Moderate,26/07/2022,72,33,10,192.0552,2023-01-22,2023-01-25,Invoiced
20,45,Muxo,5722 Straubel Terrace,Mansura,318-933-7938,Mediterranean,Moderate,26/07/2022,81,12,12,41.8506,2023-07-03,2023-08-03,Delivered
20,45,Muxo,5722 Straubel Terrace,Mansura,318-933-7938,Mediterranean,Moderate,26/07/2022,95,23,64,100.2021,2022-07-31,2022-03-08,Paid
21,21,Jazzy,0559 Fallview Place,Matrouh,519-821-9587,Middle Eastern,Moderate,02/11/2022,10,15,71,689.68,2022-08-28,2022-08-31,Paid
21,21,Jazzy,0559 Fallview Place,Matrouh,519-821-9587,Middle Eastern,Moderate,02/11/2022,11,9,86,475.2188,2022-08-13,2022-08-16,Invoiced
21,21,Jazzy,0559 Fallview Place,Matrouh,519-821-9587,Middle Eastern,Moderate,02/11/2022,30,37,72,1034.4588,2022-07-29,2022-01-08,Delivered
21,21,Jazzy,0559 Fallview Place,Matrouh,519-821-9587,Middle Eastern,Moderate,02/11/2022,39,21,97,65.2698,2022-08-14,2022-08-17,Delivered
23,29,Feedmix,67 Drewry Place,Mansura,292-561-3449,Egyptian,Moderate,09/03/2023,44,29,97,54.7296,2023-01-25,2023-01-26,Paid
23,29,Feedmix,67 Drewry Place,Mansura,292-561-3449,Egyptian,Moderate,09/03/2023,69,42,27,543.59,2022-12-20,2022-12-23,Cancelled
23,29,Feedmix,67 Drewry Place,Mansura,292-561-3449,Egyptian,Moderate,09/03/2023,70,43,9,630.306,2022-06-15,2022-06-18,Cancelled
23,29,Feedmix,67 Drewry Place,Mansura,292-561-3449,Egyptian,Moderate,09/03/2023,88,30,54,855.1452,2022-08-28,2022-08-29,Invoiced
24,32,Blogtags,80135 Vera Point,Alexandria,816-157-4153,Egyptian,Expensive,21/03/2023,15,12,77,44.7227,2022-04-08,2022-07-08,Paid
24,32,Blogtags,80135 Vera Point,Alexandria,816-157-4153,Egyptian,Expensive,21/03/2023,21,6,19,757.687,2023-04-24,2023-04-25,Invoiced
24,32,Blogtags,80135 Vera Point,Alexandria,816-157-4153,Egyptian,Expensive,21/03/2023,25,17,70,778.8088,2023-03-20,2023-03-21,Invoiced
24,32,Blogtags,80135 Vera Point,Alexandria,816-157-4153,Egyptian,Expensive,21/03/2023,64,7,47,792.148,2022-07-12,2022-08-12,Invoiced
24,32,Blogtags,80135 Vera Point,Alexandria,816-157-4153,Egyptian,Expensive,21/03/2023,87,18,29,290.0114,2023-03-29,2023-03-30,Invoiced
24,32,Blogtags,80135 Vera Point,Alexandria,816-157-4153,Egyptian,Expensive,21/03/2023,98,1,45,662.0882,2022-09-18,2022-09-21,Cancelled
25,31,Skinder,3 Swallow Crossing,Alexandria,292-446-9943,Mediterranean,Moderate,15/08/2022,8,47,58,220.584,2023-01-27,2023-01-28,Delivered
25,31,Skinder,3 Swallow Crossing,Alexandria,292-446-9943,Mediterranean,Moderate,15/08/2022,24,24,19,316.135,2023-01-16,2023-01-17,Invoiced
25,31,Skinder,3 Swallow Crossing,Alexandria,292-446-9943,Mediterranean,Moderate,15/08/2022,34,18,58,327.3396,2022-06-27,2022-06-30,Cancelled
25,31,Skinder,3 Swallow Crossing,Alexandria,292-446-9943,Mediterranean,Moderate,15/08/2022,77,38,85,783.1516,2022-06-23,2022-06-26,Cancelled
25,31,Skinder,3 Swallow Crossing,Alexandria,292-446-9943,Mediterranean,Moderate,15/08/2022,100,47,91,237.3904,2022-02-08,2022-05-08,Delivered
26,42,Oyoloo,957 Park Meadow Junction,Cairo,813-998-7975,Mediterranean,Expensive,30/09/2022,66,27,72,608.5553,2022-12-07,2022-07-15,Delivered
26,42,Oyoloo,957 Park Meadow Junction,Cairo,813-998-7975,Mediterranean,Expensive,30/09/2022,67,7,23,900.5472,2023-02-17,2023-02-18,Invoiced
26,42,Oyoloo,957 Park Meadow Junction,Cairo,813-998-7975,Mediterranean,Expensive,30/09/2022,75,14,39,830.3402,2023-08-03,2023-09-03,Paid
26,42,Oyoloo,957 Park Meadow Junction,Cairo,813-998-7975,Mediterranean,Expensive,30/09/2022,92,13,28,237.0246,2022-07-21,2022-07-24,Paid
27,50,Zoonder,99009 Forster Park,Alexandria,505-746-2524,Mediterranean,Moderate,09/09/2022,4,42,36,603.3849,2022-09-26,2022-09-29,Cancelled
27,50,Zoonder,99009 Forster Park,Alexandria,505-746-2524,Mediterranean,Moderate,09/09/2022,53,33,15,254.5848,2022-09-14,2022-09-17,Cancelled
28,16,Blognation,21045 Hooker Center,Mansura,220-802-7087,Middle Eastern,Expensive,23/11/2022,6,43,14,721.3502,2022-11-18,2022-11-21,Paid
28,16,Blognation,21045 Hooker Center,Mansura,220-802-7087,Middle Eastern,Expensive,23/11/2022,19,1,42,731.3765,2022-07-27,2022-07-30,Invoiced
28,16,Blognation,21045 Hooker Center,Mansura,220-802-7087,Middle Eastern,Expensive,23/11/2022,51,1,26,669.7869,2023-04-19,2023-04-20,Paid
28,16,Blognation,21045 Hooker Center,Mansura,220-802-7087,Middle Eastern,Expensive,23/11/2022,68,48,42,781.9488,2022-08-30,2022-02-09,Paid
28,16,Blognation,21045 Hooker Center,Mansura,220-802-7087,Middle Eastern,Expensive,23/11/2022,91,39,67,768.7953,2023-01-30,2023-02-02,Delivered
29,15,Youfeed,44 Old Gate Hill,Alexandria,871-903-7585,Mediterranean,Moderate,14/09/2022,23,15,100,765.5448,2022-06-10,2022-07-10,Paid
29,15,Youfeed,44 Old Gate Hill,Alexandria,871-903-7585,Mediterranean,Moderate,14/09/2022,55,44,5,2.4156,2022-10-27,2022-10-28,Paid
29,15,Youfeed,44 Old Gate Hill,Alexandria,871-903-7585,Mediterranean,Moderate,14/09/2022,79,33,13,254.5848,2022-05-10,2022-08-10,Cancelled
30,15,Leexo,9207 Autumn Leaf Crossing,Matrouh,260-278-1182,Mediterranean,Expensive,22/07/2022,41,5,9,294.6379,2022-12-23,2022-12-24,Paid
30,15,Leexo,9207 Autumn Leaf Crossing,Matrouh,260-278-1182,Mediterranean,Expensive,22/07/2022,73,33,53,241.1856,2022-10-20,2022-10-21,Delivered
